i,Λ(s_i),Σ l(w_i),l(s_i),Parity,Aspect,w_1,l(w_1),POS(w_1),w_2 ,l(w_2),POS(w_2),w_3,l(w_3),POS(w_3),w_4,l(w_4),POS(w_4),w_5,l(w_5),POS(w_5),w_6,l(w_6),POS(w_6),w_7,l(w_7),POS(w_7),w_8,l(w_8),POS(w_8),w_9,l(w_9),POS(w_9),w_10,l(w_10),POS(w_10),w_11,l(w_11),POS(w_11),w_12,l(w_12),POS(w_12)
1,4,14,17,Odd,Perfect,no,2,adjective,devil,5,noun,lived,5,verb,on,2,preposition,,,,,,,,,,,,,,,,,,,,,,,,
2,6,20,25,Odd,Perfect,rats,4,noun,live,4,verb,on,2,two,no,2,quantifier,evil,4,adjective,star,4,noun,,,,,,,,,,,,,,,,,,
3,7,19,25,Odd,Perfect,live,4,adjective,was,3,verb,I,1,pronoun,ere,3,preposition,I,1,pronoun,saw,3,verb,evil,4,noun,,,,,,,,,,,,,,,
4,4,13,16,Even,Imperfect,name,4,verb,now,3,adverb,one,3,number,man,3,noun,,,,,,,,,,,,,,,,,,,,,,,,
5,6,15,20,Even,Imperfect,pull,4,verb,up,2,preposition,if,2,conjunction,I,1,pronoun,pull,4,verb,up,2,preposition,,,,,,,,,,,,,,,,,,
6,6,15,20,Even,Imperfect,too,3,adverb,bad,3,adjective,I,1,pronoun,hid,3,verb,a,1,article,boot,4,noun,,,,,,,,,,,,,,,,,,
7,5,13,17,Odd,Imperfect,we,2,pronoun,panic,5,verb,in,2,preposition,a,1,article,a,1,article,pew,3,noun,,,,,,,,,,,,,,,,,,
8,4,12,15,Odd,Imperfect,too,3,adverb,hot,3,adjective,to,2,preposition,hoot,4,verb,,,,,,,,,,,,,,,,,,,,,,,,
9,4,13,16,Even,Imperfect,do,2,verb,geese,5,noun,see,3,verb,god,3,noun,,,,,,,,,,,,,,,,,,,,,,,,
10,7,21,27,Odd,Imperfect,now,3,adverb,do,2,verb,I,1,pronoun,repay,5,verb,a,1,article,period,6,noun,won,3,adjective,,,,,,,,,,,,,,,
11,5,25,29,Odd,Imperfect,some,4,adjective,men,3,noun,interpret,9,verb,nine,4,number,memos,5,noun,,,,,,,,,,,,,,,,,,,,,
12,6,21,26,Even,Imperfect,draw,4,verb,no,2,quantifier,dray,4,noun,a,1,article,yard,4,noun,onward,6,adverb,,,,,,,,,,,,,,,,,,
13,7,21,27,Odd,Imperfect,do,2,verb,not,3,quantifier,start,5,verb,at,2,preposition,rats,4,noun,to,2,preposition,nod,3,verb,,,,,,,,,,,,,,,
14,6,15,20,Even,Imperfect,in,2,preposition,a,1,article,regal,5,adjective,age,3,noun,ran,3,verb,I,1,pronoun,,,,,,,,,,,,,,,,,,
15,6,27,32,Even,Imperfect,goddesses,9,noun,so,2,adverb,pay,3,verb,a,1,article,possessed,9,adjective,dog,3,noun,,,,,,,,,,,,,,,,,,
16,10,39,48,Even,Imperfect,live,4,adjective,dirt,4,noun,up,2,preposition,a,1,article,sidetrack,9,noun,carted,6,verb,is,2,verb,a,1,article,putrid,6,adjective,evil,4,noun,,,,,,
17,5,19,23,Odd,Imperfect,regard,6,verb,a,1,article,mere,4,adjective,mad,3,adjective,rager,5,noun,,,,,,,,,,,,,,,,,,,,,
18,6,23,28,Even,Imperfect,trade,5,verb,ye,2,pronoun,no,2,quantifier,mere,4,adjective,moneyed,7,adjective,art,3,noun,,,,,,,,,,,,,,,,,,
19,5,20,24,Even,Imperfect,must,4,verb,sell,4,verb,at,2,preposition,tallest,7,adjective,sum,3,noun,,,,,,,,,,,,,,,,,,,,,
